Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
52.186.154.127-5.211.217.64-0-0-0,52.186.154.127,0,5.211.217.64,0,0,07/11/2024 10:27:38 PM,21833081,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0916041121269142,2.1833081E7,0.0,2.1833081E7,2.1833081E7,2.1833081E7,2.1833081E7,0.0,2.1833081E7,2.1833081E7,0,0,0,0,0,0,0,0,0,0,0,0.0916041121269142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.1833081E7,0.0,2.1833081E7,2.1833081E7,NeedManualLabel
52.186.154.127-5.211.177.148-0-0-0,52.186.154.127,0,5.211.177.148,0,0,07/11/2024 10:27:32 PM,26859354,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.07446195466949801,2.6859354E7,0.0,2.6859354E7,2.6859354E7,2.6859354E7,2.6859354E7,0.0,2.6859354E7,2.6859354E7,0,0,0,0,0,0,0,0,0,0,0,0.07446195466949801,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.6859354E7,0.0,2.6859354E7,2.6859354E7,NeedManualLabel
52.186.154.127-5.211.101.167-0-0-0,52.186.154.127,0,5.211.101.167,0,0,07/11/2024 10:27:41 PM,23000510,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.08695459361553289,2.300051E7,0.0,2.300051E7,2.300051E7,2.300051E7,2.300051E7,0.0,2.300051E7,2.300051E7,0,0,0,0,0,0,0,0,0,0,0,0.08695459361553289,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.300051E7,0.0,2.300051E7,2.300051E7,NeedManualLabel
52.186.154.127-5.211.205.183-0-0-0,52.186.154.127,0,5.211.205.183,0,0,07/11/2024 10:27:44 PM,3030676,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6599187771969026,3030676.0,0.0,3030676.0,3030676.0,3030676.0,3030676.0,0.0,3030676.0,3030676.0,0,0,0,0,0,0,0,0,0,0,0,0.6599187771969026,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
52.186.154.127-5.211.152.30-0-0-0,52.186.154.127,0,5.211.152.30,0,0,07/11/2024 10:27:51 PM,14269857,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1401555740887943,1.4269857E7,0.0,1.4269857E7,1.4269857E7,1.4269857E7,1.4269857E7,0.0,1.4269857E7,1.4269857E7,0,0,0,0,0,0,0,0,0,0,0,0.1401555740887943,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.4269857E7,0.0,1.4269857E7,1.4269857E7,NeedManualLabel
250.136.105.82-119.65.139.44-0-0-0,250.136.105.82,0,119.65.139.44,0,0,07/11/2024 10:27:38 PM,25911923,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.07718454550825887,2.5911923E7,0.0,2.5911923E7,2.5911923E7,2.5911923E7,2.5911923E7,0.0,2.5911923E7,2.5911923E7,0,0,0,0,0,0,0,0,0,0,0,0.07718454550825887,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.5911923E7,0.0,2.5911923E7,2.5911923E7,NeedManualLabel
52.186.154.127-5.211.187.249-0-0-0,52.186.154.127,0,5.211.187.249,0,0,07/11/2024 10:27:31 PM,16128548,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.124003723087782,1.6128548E7,0.0,1.6128548E7,1.6128548E7,1.6128548E7,1.6128548E7,0.0,1.6128548E7,1.6128548E7,0,0,0,0,0,0,0,0,0,0,0,0.124003723087782,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.6128548E7,0.0,1.6128548E7,1.6128548E7,NeedManualLabel
52.186.154.127-5.211.23.88-0-0-0,52.186.154.127,0,5.211.23.88,0,0,07/11/2024 10:27:43 PM,9403295,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.21269140232227107,9403295.0,0.0,9403295.0,9403295.0,9403295.0,9403295.0,0.0,9403295.0,9403295.0,0,0,0,0,0,0,0,0,0,0,0,0.21269140232227107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9403295.0,0.0,9403295.0,9403295.0,NeedManualLabel
52.186.154.127-5.211.197.195-0-0-0,52.186.154.127,0,5.211.197.195,0,0,07/11/2024 10:27:39 PM,2382560,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.2591498220401587,1191280.0,1684281.683738798,2382247.0,313.0,2382560.0,1191280.0,1684281.683738798,2382247.0,313.0,0,0,0,0,0,0,0,0,0,0,0,1.2591498220401587,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
52.186.154.127-5.211.50.55-0-0-0,52.186.154.127,0,5.211.50.55,0,0,07/11/2024 10:27:35 PM,10318497,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1938266784396991,1.0318497E7,0.0,1.0318497E7,1.0318497E7,1.0318497E7,1.0318497E7,0.0,1.0318497E7,1.0318497E7,0,0,0,0,0,0,0,0,0,0,0,0.1938266784396991,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0318497E7,0.0,1.0318497E7,1.0318497E7,NeedManualLabel
